669.6110694382206	[609.19025728  74.6465639    2.27815703]
596.6774080992126	[590.25247709 117.30022561  32.10760528]
603.649078725671	[614.50500775  75.33170825  50.29641805]
696.8064770762423	[601.4134243   92.46549316  17.99770753]
625.8038597823145	[608.25549184  52.34825857  -9.4347766 ]
687.4607918122767	[604.91455271  44.69308876   8.0321864 ]
690.7231947305479	[607.25644452  63.97810496 -13.60790028]
643.6636838549376	[606.16718093 107.84945263  10.7024085 ]
656.3019909662498	[595.22462244 123.50799979  22.48774913]
665.0784448295924	[601.63864556 135.10049088 -16.77412148]
676.152384880287	[593.5462698  132.68376821  -8.26160089]
689.4845988815013	[617.30835422  62.89223197  -5.34607438]
674.4824269339024	[591.44451635  56.60478335  35.6853047 ]
658.0151472346234	[587.73160385 114.85815266  38.92578603]
649.4289660252891	[600.16173238  61.91941794  37.63984528]
645.7536359223421	[604.76630437  83.28950323  49.18599083]
690.0548541348836	[601.95090824  82.49570396 -46.89621793]
672.581590893604	[608.4029822   90.84091739 -35.98137713]
680.9637975884632	[589.03221269 144.56392814  12.64679357]
662.4441328105011	[601.77775706  84.86673149  -1.78216439]
661.2666296364262	[595.88772238 150.67786961 -31.78424555]
635.1208780907011	[606.40607168 104.40202934  19.08537999]
659.5257614268407	[583.87082467  61.72275855 -11.4988077 ]
638.6033260449333	[600.46974249 141.32048003  37.28686059]
646.3341675367543	[591.49087512  95.97387908 -50.14214724]
686.6764116694224	[609.47547451  43.17371407  11.25676247]
660.6592645092951	[598.16163697 113.77811956 -21.10012013]
673.3079318265593	[604.18173265  53.32616711 -11.80786286]
680.8756037695857	[594.9547706  124.1828579  -12.08900658]
447.3616536888751	[601.04729701  97.87972184 -29.00560043]
649.9107760816808	[600.75049756 119.77102893  14.81000951]
638.1319830364511	[598.99432526 106.69056798  46.93710757]
632.9121988323886	[601.2320545   98.57623945 -28.14574539]
626.1763605764268	[593.90922053 133.31984663   3.02484876]
300.99751362985563	[596.10958619 130.53094027 -45.6901821 ]
682.2364460740152	[599.87851697 113.6277167   -5.40299203]
636.4613699525751	[606.37928988  71.03272345 -50.087205  ]
632.5892518918556	[608.98582509  68.65974516 -17.27995799]
675.9379986172623	[594.2574759  111.6266723   -1.73838745]
670.7841970286638	[606.88472711  55.40725767   5.40041463]
